time,ax (m/s^2)
3.734421,19.5779
3.739278,19.9961
3.744032,19.8388
3.748652,19.1503
3.753083,17.9449
3.75777,16.7081
3.762652,15.6458
3.767046,14.8768
3.771758,14.5482
3.776424,14.7017
3.781427,15.1449
3.786048,15.4247
3.790822,15.3925
3.795221,15.5194
3.799926,16.0816
3.805819,16.6863
3.81197,17.2567
3.814288,17.6049
3.818599,17.5299
3.82346,17.2124
3.827904,16.7636
3.832493,15.7692
3.837233,14.1048
3.841749,12.7299
3.847241,11.9533
3.851456,11.6261
3.856271,11.3044
3.860837,11.0212
3.865302,10.7047
3.86996,10.367
3.875395,9.9924
3.879378,8.9745
3.883938,6.6488
3.888721,2.3863
3.89347,-3.5179
3.898103,-10.2322
3.902707,-17.246
3.908212,-22.3692
3.912314,-25.3544
3.916677,-25.2583
3.921195,-24.2706
3.925509,-22.6815
3.93097,-22.7151
3.935505,-21.5088
3.941233,-19.6186
3.944798,-18.2433
3.949315,-16.2389
3.95413,-14.3655
3.958285,-12.9534
3.96362,-12.1531
3.968237,-12.192
3.972472,-12.8682
3.977499,-14.1079
3.982109,-15.4179
3.986873,-16.4536
3.991533,-17.43
3.996466,-18.3149
4.000775,-19.0809
4.005244,-19.7422
4.011154,-19.7566
4.014964,-18.9854
4.019447,-17.7319
4.024198,-16.2938
4.028827,-15.594
4.033357,-15.93
4.038445,-16.9651
4.043221,-18.819
4.047799,-21.2543
4.052046,-23.4853
4.057322,-25.6727
4.062614,-27.2105
4.066255,-27.5967
4.070704,-27.089
4.075655,-26.0447
4.080169,-24.3288
4.084485,-22.1567
4.089573,-20.609
4.094431,-20.0422
4.098938,-20.2104
4.103695,-21.0554
4.111215,-22.051
4.112959,-22.7716
4.117623,-22.5947
4.122266,-21.6728
4.126807,-20.2882
4.13191,-18.3995
4.136548,-16.3451
4.141799,-14.6089
4.145819,-13.1685
4.150401,-11.7477
4.155158,-9.9919
4.159723,-7.6309
4.16427,-4.4788
4.168994,-0.7833
4.173838,3.9555
4.178568,9.9667
4.183226,15.9981
